"","accepted_symbol","scientific_name","fire_resistance","growth_rate","height","drought_tolerance","fire_tolerance","moisture_use","planting_density","root_depth","bloom_period","growth_habit","growth_period"
"53","AECA","Aesculus californica","No","Moderate",25,"High","Medium","Medium",700,36,"Summer","Shrub","Spring"
"54","AEFL","Aesculus flava","No","Moderate",65,"Low","Low","High",700,36,"Late Spring","Tree","Spring"
"55","AEFL","Aesculus flava","No","Moderate",65,"Low","Low","High",700,36,"Late Spring","Shrub","Spring"
"56","AEGL","Aesculus glabra","No","Rapid",68,"Medium","Low","Medium",700,36,"Mid Spring","Tree","Spring"
"57","AEPA","Aesculus pavia","No","Moderate",25,"Low","Low","High",1100,20,"Late Spring","Tree","Spring"
"58","AEPA","Aesculus pavia","No","Moderate",25,"Low","Low","High",1100,20,"Late Spring","Shrub","Spring"
"59","AESY","Aesculus sylvatica","No","Moderate",65,"Low","Low","High",700,36,"Mid Spring","Tree","Spring"
"60","AESY","Aesculus sylvatica","No","Moderate",65,"Low","Low","High",700,36,"Mid Spring","Shrub","Spring"
"61","AGPA2","Agastache parvifolia","No","Moderate",2,"High","Medium","Low",4800,12,"Late Spring","Subshrub","Spring"
"62","AGPA2","Agastache parvifolia","No","Moderate",2,"High","Medium","Low",4800,12,"Late Spring","Forb/herb","Spring"
"63","AGUR","Agastache urticifolia","No","Rapid",5,"Low","High","Medium",4800,12,"Late Spring","Forb/herb","Spring"
"64","AGUR","Agastache urticifolia","No","Rapid",5,"Low","High","Medium",4800,12,"Late Spring","Subshrub","Spring"
"65","AGAM","Agave americana","Yes","Slow",6,"High","Low","Low",1700,30,"Indeterminate","Subshrub","Spring"
"66","AGAM","Agave americana","Yes","Slow",6,"High","Low","Low",1700,30,"Indeterminate","Subshrub","Summer"
"67","AGAM","Agave americana","Yes","Slow",6,"High","Low","Low",1700,30,"Indeterminate","Subshrub","Fall"
"68","AGAM","Agave americana","Yes","Slow",6,"High","Low","Low",1700,30,"Indeterminate","Forb/herb","Spring"
"69","AGAM","Agave americana","Yes","Slow",6,"High","Low","Low",1700,30,"Indeterminate","Forb/herb","Summer"
"70","AGAM","Agave americana","Yes","Slow",6,"High","Low","Low",1700,30,"Indeterminate","Forb/herb","Fall"
"71","AGAM","Agave americana","Yes","Slow",6,"High","Low","Low",1700,30,"Indeterminate","Shrub","Spring"
"72","AGAM","Agave americana","Yes","Slow",6,"High","Low","Low",1700,30,"Indeterminate","Shrub","Summer"
"73","AGAM","Agave americana","Yes","Slow",6,"High","Low","Low",1700,30,"Indeterminate","Shrub","Fall"
"74","AGUT","Agave utahensis","No","Moderate",1,"High","None","Low",170,6,"Mid Spring","Subshrub","Spring"
"75","AGUT","Agave utahensis","No","Moderate",1,"High","None","Low",170,6,"Mid Spring","Shrub","Spring"
"76","AGUT","Agave utahensis","No","Moderate",1,"High","None","Low",170,6,"Mid Spring","Forb/herb","Spring"
"77","AGGR2","Agrimonia gryposepala","No","Moderate",6,"Low","None","Medium",11000,6,"Summer","Forb/herb","Spring"
"78","AGPA6","Agrimonia parviflora","No","Rapid",6,"Low","Low","High",5000,6,"Mid Summer","Forb/herb","Spring"
"79","AGRO3","Agrimonia rostellata","No","Moderate",2,"Low","None","Medium",11000,6,"Summer","Forb/herb","Spring"
"80","AGCA4","Agrostis canina","No","Moderate",2,"Low","Medium","High",43560,12,"Late Spring","Graminoid","Spring"
"81","AGCA5","Agrostis capillaris","Yes","Moderate",2,"Low","Medium","High",43560,12,"Mid Summer","Graminoid","Spring"
"82","AGST2","Agrostis stolonifera","No","Moderate",2,"Low","Medium","High",43560,12,"Mid Summer","Graminoid","Summer"
"83","AIAL","Ailanthus altissima","No","Rapid",55,"Medium","Medium","Medium",1200,30,"Late Spring","Tree","Spring"
"84","AJRE","Ajuga reptans","Yes","Rapid",0,"Medium","High","High",43000,10,"Mid Summer","Forb/herb","Spring"
"85","AJRE","Ajuga reptans","Yes","Rapid",0,"Medium","High","High",43000,10,"Mid Summer","Forb/herb","Summer"
"86","AJRE","Ajuga reptans","Yes","Rapid",0,"Medium","High","High",43000,10,"Mid Summer","Forb/herb","Fall"
"87","ALJU","Albizia julibrissin","No","Rapid",20,"Medium","Medium","Medium",700,30,"Mid Summer","Tree","Spring"
"88","ALJU","Albizia julibrissin","No","Rapid",20,"Medium","Medium","Medium",700,30,"Mid Summer","Shrub","Spring"
"89","ALGR","Alisma gramineum","Yes","Moderate",2,"None","High","High",11000,8,"Mid Summer","Forb/herb","Spring"
"90","ALPL","Alisma plantago-aquatica","Yes","Moderate",3,"None","Low","High",4800,16,"Fall","Forb/herb","Spring"
"91","ALSU","Alisma subcordatum","No","Moderate",0,"None","High","High",4800,8,"Late Spring","Forb/herb","Spring"
"92","ALAC4","Allium acuminatum","Yes","Rapid",1,"Medium","High","Low",11000,6,"Summer","Forb/herb","Spring"
"93","ALDO","Allium douglasii","No","Rapid",1,"Medium","High","Medium",11000,8,"Late Spring","Forb/herb","Spring"
