"","accepted_symbol","scientific_name","fire_resistance","growth_rate","height","drought_tolerance","fire_tolerance","moisture_use","planting_density","root_depth","bloom_period","growth_habit","growth_period"
"478","CASP8","Catalpa speciosa","No","Rapid",60,"Medium","None","Low",1200,20,"Early Summer","Tree","Spring"
"479","CAER2","Cathestecum erectum","No","Moderate",1,"High","Medium","Low",18000,12,"Mid Summer","Graminoid","Spring"
"480","CATH2","Caulophyllum thalictroides","No","Moderate",2,"Low","Low","Medium",11000,16,"Mid Summer","Forb/herb","Spring"
"481","CEFL4","Ceanothus ×flexilis","No","Moderate",1,"High","Medium","Low",4800,20,"Early Summer","Shrub","Spring"
"482","CEAM","Ceanothus americanus","No","Slow",3,"High","Medium","Low",4800,14,"Late Spring","Subshrub","Spring"
"483","CEAM","Ceanothus americanus","No","Slow",3,"High","Medium","Low",4800,14,"Late Spring","Shrub","Spring"
"484","CECO","Ceanothus cordulatus","No","Slow",5,"Low","High","Low",4800,20,"Early Summer","Shrub","Spring"
"485","CECU","Ceanothus cuneatus","Yes","Moderate",11,"High","High","Medium",2728,20,"Early Summer","Shrub","Spring"
"486","CEFR","Ceanothus fresnensis","No","Slow",1,"High","Medium","Low",4800,18,"Late Spring","Subshrub","Spring"
"487","CEFR","Ceanothus fresnensis","No","Slow",1,"High","Medium","Low",4800,18,"Late Spring","Shrub","Spring"
"488","CEGR","Ceanothus greggii","No","Moderate",7,"High","Medium","Low",120,12,"Early Spring","Shrub","Spring"
"489","CEIN3","Ceanothus integerrimus","No","Moderate",13,"High","Low","Low",2728,20,"Late Spring","Shrub","Spring"
"490","CEME","Ceanothus megacarpus","No","Moderate",13,"High","Medium","Low",700,12,"Late Winter","Shrub","Summer"
"491","CEPA2","Ceanothus papillosus","No","Moderate",16,"High","Medium","Low",700,12,"Early Spring","Shrub","Spring"
"492","CEPR","Ceanothus prostratus","Yes","Slow",0,"High","High","Low",10912,14,"Early Spring","Shrub","Spring"
"493","CEPR","Ceanothus prostratus","Yes","Slow",0,"High","High","Low",10912,14,"Early Spring","Subshrub","Spring"
"494","CESA","Ceanothus sanguineus","Yes","Slow",10,"Medium","Medium","High",100,12,"Mid Spring","Shrub","Spring"
"495","CEVE","Ceanothus velutinus","No","Moderate",10,"Low","High","Medium",2700,18,"Early Summer","Tree","Spring"
"496","CEVE","Ceanothus velutinus","No","Moderate",10,"Low","High","Medium",2700,18,"Early Summer","Shrub","Spring"
"497","CESC9","Cecropia schreberiana","No","Rapid",65,"Medium","High","Medium",700,20,"Late Winter","Tree","Spring"
"498","CESC9","Cecropia schreberiana","No","Rapid",65,"Medium","High","Medium",700,20,"Late Winter","Tree","Summer"
"499","CESC9","Cecropia schreberiana","No","Rapid",65,"Medium","High","Medium",700,20,"Late Winter","Tree","Fall"
"500","CEOD","Cedrela odorata","No","Rapid",90,"High","None","Medium",300,24,"Indeterminate","Tree","Spring"
"501","CEOD","Cedrela odorata","No","Rapid",90,"High","None","Medium",300,24,"Indeterminate","Tree","Summer"
"502","CEOD","Cedrela odorata","No","Rapid",90,"High","None","Medium",300,24,"Indeterminate","Tree","Fall"
"503","CEDE2","Cedrus deodara","No","Rapid",60,"High","None","Low",700,20,"Late Summer","Tree","Spring"
"504","CEOR7","Celastrus orbiculatus","No","Rapid",30,"Medium","High","High",4800,18,"Spring","Vine","Spring"
"505","CESC","Celastrus scandens","No","Rapid",15,"Medium","High","High",4800,18,"Spring","Vine","Spring"
"506","CELA","Celtis laevigata","No","Moderate",80,"Low","Medium","High",300,24,"Early Spring","Tree","Spring"
"507","CELA","Celtis laevigata","No","Moderate",80,"Low","Medium","High",300,24,"Early Spring","Shrub","Spring"
"508","CELAR","Celtis laevigata var. reticulata","No","Rapid",20,"High","Medium","Low",100,12,"Mid Spring","Tree","Spring"
"509","CELAR","Celtis laevigata var. reticulata","No","Rapid",20,"High","Medium","Low",100,12,"Mid Spring","Shrub","Spring"
"510","CEOC","Celtis occidentalis","No","Rapid",60,"High","Low","Low",300,36,"Mid Spring","Tree","Spring"
"511","CEOC","Celtis occidentalis","No","Rapid",60,"High","Low","Low",300,36,"Mid Spring","Shrub","Spring"
"512","CEOC2","Cephalanthus occidentalis","No","Moderate",15,"Medium","Medium","High",2700,14,"Summer","Shrub","Spring"
"513","CEOC2","Cephalanthus occidentalis","No","Moderate",15,"Medium","Medium","High",2700,14,"Summer","Tree","Spring"
"514","CECA4","Cercis canadensis","No","Slow",30,"High","Medium","Low",1200,24,"Spring","Tree","Spring"
"515","CECA4","Cercis canadensis","No","Slow",30,"High","Medium","Low",1200,24,"Spring","Shrub","Spring"
"516","CECAT","Cercis canadensis var. texensis","No","Rapid",12,"High","Medium","Low",1200,20,"Early Spring","Tree","Spring"
"517","CECAT","Cercis canadensis var. texensis","No","Rapid",12,"High","Medium","Low",1200,20,"Early Spring","Shrub","Spring"
"518","CELE3","Cercocarpus ledifolius","No","Moderate",20,"High","Medium","Low",2700,20,"Early Spring","Tree","Spring"
"519","CELE3","Cercocarpus ledifolius","No","Moderate",20,"High","Medium","Low",2700,20,"Early Spring","Tree","Summer"
"520","CELE3","Cercocarpus ledifolius","No","Moderate",20,"High","Medium","Low",2700,20,"Early Spring","Tree","Fall"
"521","CELE3","Cercocarpus ledifolius","No","Moderate",20,"High","Medium","Low",2700,20,"Early Spring","Shrub","Spring"
"522","CELE3","Cercocarpus ledifolius","No","Moderate",20,"High","Medium","Low",2700,20,"Early Spring","Shrub","Summer"
"523","CELE3","Cercocarpus ledifolius","No","Moderate",20,"High","Medium","Low",2700,20,"Early Spring","Shrub","Fall"
"524","CEMO2","Cercocarpus montanus","No","Slow",15,"High","Medium","Low",2700,20,"Late Spring","Tree","Spring"
"525","CEMO2","Cercocarpus montanus","No","Slow",15,"High","Medium","Low",2700,20,"Late Spring","Shrub","Spring"
"526","CHJA2","Chaenomeles japonica","No","Rapid",8,"High","High","Medium",2700,18,"Early Spring","Shrub","Spring"
"527","CHMI2","Chamaebatiaria millefolium","No","Moderate",6,"High","Medium","Low",400,12,"Mid Summer","Shrub","Spring"
"528","CHMI2","Chamaebatiaria millefolium","No","Moderate",6,"High","Medium","Low",400,12,"Mid Summer","Shrub","Summer"
"529","CHMI2","Chamaebatiaria millefolium","No","Moderate",6,"High","Medium","Low",400,12,"Mid Summer","Shrub","Fall"
"530","CHLA","Chamaecyparis lawsoniana","Yes","Moderate",200,"Low","Medium","Medium",700,60,"Mid Spring","Tree","Spring"
"531","CHTH2","Chamaecyparis thyoides","No","Moderate",50,"None","Medium","Low",1700,16,"Spring","Tree","Spring"
"532","CHCA2","Chamaedaphne calyculata","Yes","Moderate",4,"Low","Medium","High",400,8,"Early Spring","Shrub","Spring"
"533","CHLA5","Chasmanthium latifolium","No","Moderate",5,"Medium","None","Medium",11000,10,"Summer","Graminoid","Spring"
"534","CHLA6","Chasmanthium laxum","No","Moderate",3,"Medium","None","Medium",11000,10,"Summer","Graminoid","Spring"
"535","CHLI2","Chilopsis linearis","No","Rapid",25,"High","High","Low",1700,12,"Late Spring","Tree","Spring"
"536","CHLI2","Chilopsis linearis","No","Rapid",25,"High","High","Low",1700,12,"Late Spring","Tree","Summer"
"537","CHLI2","Chilopsis linearis","No","Rapid",25,"High","High","Low",1700,12,"Late Spring","Tree","Fall"
"538","CHLI2","Chilopsis linearis","No","Rapid",25,"High","High","Low",1700,12,"Late Spring","Shrub","Spring"
"539","CHLI2","Chilopsis linearis","No","Rapid",25,"High","High","Low",1700,12,"Late Spring","Shrub","Summer"
"540","CHLI2","Chilopsis linearis","No","Rapid",25,"High","High","Low",1700,12,"Late Spring","Shrub","Fall"
"541","CHUM","Chimaphila umbellata","Yes","Slow",2,"Medium","High","Low",10000,8,"Late Spring","Subshrub","Summer"
"542","CHVI3","Chionanthus virginicus","No","Slow",25,"Medium","Low","High",700,20,"Mid Spring","Tree","Spring"
"543","CHVI3","Chionanthus virginicus","No","Slow",25,"Medium","Low","High",700,20,"Mid Spring","Shrub","Spring"
"544","CHDU","Choisya dumosa","No","Moderate",3,"High","Low","Low",2700,18,"Late Spring","Shrub","Spring"
"545","CHDU","Choisya dumosa","No","Moderate",3,"High","Low","Low",2700,18,"Late Spring","Shrub","Summer"
"546","CHDU","Choisya dumosa","No","Moderate",3,"High","Low","Low",2700,18,"Late Spring","Shrub","Fall"
"547","CHCHC4","Chrysolepis chrysophylla var. chrysophylla","No","Moderate",100,"High","High","Medium",700,48,"Mid Spring","Tree","Spring"
"548","CHSE11","Chrysolepis sempervirens","No","Slow",7,"Medium","Medium","Low",700,20,"Mid Summer","Shrub","Spring"
"549","CHVI8","Chrysothamnus viscidiflorus","No","Moderate",3,"High","None","Low",3000,14,"Spring","Shrub","Spring"
"550","CICH","Cibotium chamissoi","No","Slow",10,"Low","Medium","Medium",1280,12,"Indeterminate","Tree","Year Round"
"551","CIGL","Cibotium glaucum","No","Slow",8,"Low","Medium","Medium",1280,12,"Indeterminate","Tree","Year Round"
"552","CIDO","Cicuta douglasii","No","Rapid",6,"None","High","High",4800,12,"Late Spring","Forb/herb","Spring"
"553","CIAR2","Cinna arundinacea","Yes","Moderate",5,"Low","Low","Low",19000,16,"Summer","Graminoid","Spring"
"554","CILA2","Cinna latifolia","No","Moderate",4,"Low","High","High",11000,10,"Mid Summer","Graminoid","Spring"
"555","CILA2","Cinna latifolia","No","Moderate",4,"Low","High","High",11000,10,"Mid Summer","Graminoid","Summer"
"556","CILA2","Cinna latifolia","No","Moderate",4,"Low","High","High",11000,10,"Mid Summer","Graminoid","Fall"
"557","CIAL","Circaea alpina","No","Moderate",1,"Low","Low","Medium",4800,10,"Late Spring","Forb/herb","Summer"
"558","CIPA3","Citrus ×paradisi","No","Moderate",20,"Medium","None","Medium",700,60,"Spring","Tree","Year Round"
"559","CIPA3","Citrus ×paradisi","No","Moderate",20,"Medium","None","Medium",700,60,"Spring","Shrub","Year Round"
"560","CLMAJ","Cladium mariscus ssp. jamaicense","No","Moderate",8,"Low","Medium","Medium",4800,16,"Summer","Graminoid","Summer"
"561","CLKE","Cladrastis kentukea","No","Moderate",40,"Medium","None","Low",700,24,"Early Summer","Tree","Spring"
"562","CLSIS","Claytonia sibirica var. sibirica","No","Moderate",1,"None","None","Medium",7000,8,"Mid Spring","Forb/herb","Spring"
"563","CLLI2","Clematis ligusticifolia","No","Moderate",1,"Medium","Medium","Medium",4800,16,"Mid Summer","Vine","Spring"
"564","CLVI5","Clematis virginiana","No","Slow",15,"Medium","Medium","Medium",2700,14,"Mid Summer","Vine","Spring"
"565","CLIS","Cleome isomeris","No","Moderate",5,"High","Low","Low",2700,20,"Early Spring","Subshrub","Spring"
"566","CLIS","Cleome isomeris","No","Moderate",5,"High","Low","Low",2700,20,"Early Spring","Shrub","Spring"
"567","CLLU2","Cleome lutea","No","Rapid",3,"High","None","Low",3450,10,"Late Spring","Forb/herb","Spring"
"568","CLSE","Cleome serrulata","No","Rapid",3,"Low","None","Medium",11000,8,"Late Spring","Forb/herb","Spring"
"569","CLAL3","Clethra alnifolia","No","Moderate",16,"Low","High","High",1700,16,"Summer","Shrub","Spring"
"570","CLBO3","Clintonia borealis","No","Moderate",1,"Low","Medium","Medium",11000,8,"Mid Spring","Forb/herb","Spring"
"571","COUV","Coccoloba uvifera","No","Slow",25,"High","None","Low",700,60,"Indeterminate","Tree","Year Round"
"572","COUV","Coccoloba uvifera","No","Slow",25,"High","None","Low",700,60,"Indeterminate","Shrub","Year Round"
"573","CONU","Cocos nucifera","No","Moderate",60,"Medium","None","Low",300,60,"Indeterminate","Tree","Year Round"
"574","COAR2","Coffea arabica","No","Moderate",15,"Medium","None","High",1100,40,"Spring","Tree","Year Round"
"575","COAR2","Coffea arabica","No","Moderate",15,"Medium","None","High",1100,40,"Spring","Shrub","Year Round"
"576","COAR6","Colutea arborescens","No","Rapid",8,"High","Medium","Medium",2700,20,"Late Spring","Tree","Spring"
"577","COAR6","Colutea arborescens","No","Rapid",8,"High","Medium","Medium",2700,20,"Late Spring","Shrub","Spring"
"578","CODI5","Commelina diffusa","No","Rapid",1,"Low","None","Medium",4800,4,"Summer","Forb/herb","Summer"
"579","COVI3","Commelina virginica","No","Moderate",4,"Low","Medium","Medium",4800,10,"Mid Summer","Forb/herb","Summer"
"580","COPE80","Comptonia peregrina","No","Slow",2,"High","High","Low",4800,14,"Spring","Subshrub","Summer"
"581","COPE80","Comptonia peregrina","No","Slow",2,"High","High","Low",4800,14,"Spring","Shrub","Summer"
"582","COMA7","Convallaria majalis","No","Slow",1,"Low","High","Medium",11000,10,"Summer","Forb/herb","Summer"
"583","COAL","Cordia alliodora","No","Rapid",70,"Low","Medium","High",300,28,"Early Spring","Tree","Spring"
"584","COAL","Cordia alliodora","No","Rapid",70,"Low","Medium","High",300,28,"Early Spring","Tree","Summer"
"585","COAL","Cordia alliodora","No","Rapid",70,"Low","Medium","High",300,28,"Early Spring","Tree","Fall"
"586","COFR2","Cordyline fruticosa","No","Moderate",10,"Medium","Medium","Medium",5000,18,"Spring","Tree","Year Round"
"587","COFR2","Cordyline fruticosa","No","Moderate",10,"Medium","Medium","Medium",5000,18,"Spring","Shrub","Year Round"
"588","COFR2","Cordyline fruticosa","No","Moderate",10,"Medium","Medium","Medium",5000,18,"Spring","Subshrub","Year Round"
"589","COLA5","Coreopsis lanceolata","No","Moderate",2,"Low","None","Medium",3450,6,"Late Summer","Forb/herb","Spring"
"590","COAL2","Cornus alternifolia","No","Moderate",25,"Low","Low","Medium",1700,20,"Mid Spring","Tree","Spring"
"591","COAL2","Cornus alternifolia","No","Moderate",25,"Low","Low","Medium",1700,20,"Mid Spring","Shrub","Spring"
"592","COAM2","Cornus amomum","No","Moderate",10,"Low","High","High",4800,16,"Early Spring","Shrub","Spring"
"593","COCA13","Cornus canadensis","Yes","Slow",0,"Low","High","High",4800,10,"Late Spring","Subshrub","Spring"
"594","COCA13","Cornus canadensis","Yes","Slow",0,"Low","High","High",4800,10,"Late Spring","Shrub","Spring"
"595","COCA13","Cornus canadensis","Yes","Slow",0,"Low","High","High",4800,10,"Late Spring","Forb/herb","Spring"
"596","CODR","Cornus drummondii","No","Rapid",20,"Low","Low","Low",1700,20,"Mid Spring","Tree","Spring"
"597","CODR","Cornus drummondii","No","Rapid",20,"Low","Low","Low",1700,20,"Mid Spring","Shrub","Spring"
"598","COFL2","Cornus florida","No","Moderate",30,"Low","Medium","Low",2700,18,"Early Spring","Tree","Spring"
"599","COFL2","Cornus florida","No","Moderate",30,"Low","Medium","Low",2700,18,"Early Spring","Shrub","Spring"
"600","COFO","Cornus foemina","No","Moderate",16,"Low","Medium","Medium",1700,16,"Mid Spring","Tree","Spring"
"601","COFO","Cornus foemina","No","Moderate",16,"Low","Medium","Medium",1700,16,"Mid Spring","Shrub","Spring"
"602","CONU4","Cornus nuttallii","No","Moderate",50,"Low","Medium","Medium",100,12,"Mid Spring","Tree","Spring"
"603","CONU4","Cornus nuttallii","No","Moderate",50,"Low","Medium","Medium",100,12,"Mid Spring","Tree","Summer"
"604","CONU4","Cornus nuttallii","No","Moderate",50,"Low","Medium","Medium",100,12,"Mid Spring","Tree","Fall"
"605","CORA6","Cornus racemosa","No","Moderate",10,"Medium","High","Medium",4800,16,"Late Spring","Shrub","Spring"
"606","CORU","Cornus rugosa","No","Moderate",10,"High","Medium","Low",2700,18,"Mid Spring","Tree","Spring"
"607","CORU","Cornus rugosa","No","Moderate",10,"High","Medium","Low",2700,18,"Mid Spring","Shrub","Spring"
"608","COSEO","Cornus sericea ssp. occidentalis","No","Moderate",16,"Low","Medium","Medium",2700,16,"Summer","Tree","Spring"
"609","COSEO","Cornus sericea ssp. occidentalis","No","Moderate",16,"Low","Medium","Medium",2700,16,"Summer","Shrub","Spring"
"610","COSES","Cornus sericea ssp. sericea","No","Moderate",12,"Low","Low","High",4850,20,"Spring","Shrub","Spring"
"611","COSES","Cornus sericea ssp. sericea","No","Moderate",12,"Low","Low","High",4850,20,"Spring","Tree","Spring"
"612","COSE4","Cortaderia selloana","No","Rapid",5,"Low","High","Medium",2700,14,"Mid Summer","Graminoid","Summer"
"613","COAM3","Corylus americana","No","Moderate",10,"Medium","Medium","Medium",1700,20,"Spring","Shrub","Spring"
"614","COCO6","Corylus cornuta","No","Moderate",15,"Medium","High","Medium",1700,16,"Early Spring","Tree","Spring"
"615","COCO6","Corylus cornuta","No","Moderate",15,"Medium","High","Medium",1700,16,"Early Spring","Shrub","Spring"
"616","COCOC","Corylus cornuta var. californica","No","Slow",18,"Low","High","Medium",1700,18,"Early Spring","Tree","Spring"
"617","COCOC","Corylus cornuta var. californica","No","Slow",18,"Low","High","Medium",1700,18,"Early Spring","Shrub","Spring"
"618","COAC2","Cotoneaster acutifolius","No","Moderate",13,"Medium","High","Medium",1700,16,"Mid Spring","Shrub","Spring"
"619","COAP3","Cotoneaster apiculatus","No","Rapid",5,"Low","Medium","Medium",1200,14,"Mid Spring","Subshrub","Spring"
"620","COAP3","Cotoneaster apiculatus","No","Rapid",5,"Low","Medium","Medium",1200,14,"Mid Spring","Shrub","Spring"
"621","COHO80","Cotoneaster horizontalis","No","Rapid",4,"Medium","Low","Medium",4800,16,"Spring","Shrub","Spring"
"622","COHO80","Cotoneaster horizontalis","No","Rapid",4,"Medium","Low","Medium",4800,16,"Spring","Shrub","Summer"
"623","COHO80","Cotoneaster horizontalis","No","Rapid",4,"Medium","Low","Medium",4800,16,"Spring","Shrub","Fall"
"624","CRAN6","Crataegus ×anomala","No","Moderate",30,"Medium","Low","Medium",1700,24,"Late Spring","Tree","Spring"
"625","CRAE","Crataegus aestivalis","No","Slow",26,"Low","Low","High",700,18,"Mid Spring","Tree","Spring"
"626","CRAE","Crataegus aestivalis","No","Slow",26,"Low","Low","High",700,18,"Mid Spring","Shrub","Spring"
"627","CRCR2","Crataegus crus-galli","No","Moderate",30,"High","Medium","Low",1200,24,"Late Spring","Tree","Spring"
"628","CRCR2","Crataegus crus-galli","No","Moderate",30,"High","Medium","Low",1200,24,"Late Spring","Shrub","Spring"
"629","CRDO2","Crataegus douglasii","No","Moderate",15,"Low","High","High",1000,12,"Mid Spring","Shrub","Spring"
"630","CRDO2","Crataegus douglasii","No","Moderate",15,"Low","High","High",1000,12,"Mid Spring","Shrub","Summer"
"631","CRDO2","Crataegus douglasii","No","Moderate",15,"Low","High","High",1000,12,"Mid Spring","Shrub","Fall"
"632","CRDO2","Crataegus douglasii","No","Moderate",15,"Low","High","High",1000,12,"Mid Spring","Tree","Spring"
"633","CRDO2","Crataegus douglasii","No","Moderate",15,"Low","High","High",1000,12,"Mid Spring","Tree","Summer"
"634","CRDO2","Crataegus douglasii","No","Moderate",15,"Low","High","High",1000,12,"Mid Spring","Tree","Fall"
"635","CRER","Crataegus erythropoda","No","Slow",16,"Low","Medium","Low",2400,24,"Late Spring","Tree","Spring"
"636","CRER","Crataegus erythropoda","No","Slow",16,"Low","Medium","Low",2400,24,"Late Spring","Shrub","Spring"
"637","CRMA5","Crataegus marshallii","No","Moderate",25,"Low","Low","Medium",700,18,"Mid Spring","Tree","Spring"
"638","CRMA5","Crataegus marshallii","No","Moderate",25,"Low","Low","Medium",700,18,"Mid Spring","Shrub","Spring"
"639","CRMO3","Crataegus monogyna","No","Slow",20,"High","Medium","Medium",700,24,"Mid Spring","Shrub","Spring"
"640","CRMO3","Crataegus monogyna","No","Slow",20,"High","Medium","Medium",700,24,"Mid Spring","Tree","Spring"
"641","CRPH","Crataegus phaenopyrum","No","Moderate",30,"Medium","Low","Medium",1200,30,"Mid Spring","Tree","Spring"
"642","CRPH","Crataegus phaenopyrum","No","Moderate",30,"Medium","Low","Medium",1200,30,"Mid Spring","Shrub","Spring"
"643","CRVI2","Crataegus viridis","No","Moderate",30,"Low","Low","High",700,18,"Early Spring","Tree","Spring"
"644","CRVI2","Crataegus viridis","No","Moderate",30,"Low","Low","High",700,18,"Early Spring","Shrub","Spring"
"645","CRJA3","Cryptomeria japonica","No","Rapid",55,"Medium","Medium","Medium",1100,24,"Mid Spring","Tree","Spring"
"646","CUFO","Cucurbita foetidissima","No","Rapid",1,"High","High","Low",1200,12,"Summer","Forb/herb","Spring"
"647","CUFO","Cucurbita foetidissima","No","Rapid",1,"High","High","Low",1200,12,"Summer","Vine","Spring"
"648","CYOB2","Cydonia oblonga","No","Slow",16,"Low","Low","Medium",1500,30,"Spring","Tree","Summer"
"649","CYOB2","Cydonia oblonga","No","Slow",16,"Low","Low","Medium",1500,30,"Spring","Shrub","Summer"
"650","CYAC2","Cyperus acuminatus","No","Rapid",1,"None","Low","High",11000,6,"Late Spring","Graminoid","Spring"
"651","CYBI6","Cyperus bipartitus","No","Rapid",5,"Low","Low","Medium",11000,14,"Mid Summer","Graminoid","Spring"
"652","CYBI6","Cyperus bipartitus","No","Rapid",5,"Low","Low","Medium",11000,14,"Mid Summer","Graminoid","Summer"
"653","CYBI6","Cyperus bipartitus","No","Rapid",5,"Low","Low","Medium",11000,14,"Mid Summer","Graminoid","Fall"
"654","CYCO","Cyperus compressus","No","Rapid",1,"Low","Low","Medium",11000,8,"Late Summer","Graminoid","Summer"
"655","CYER2","Cyperus erythrorhizos","No","Rapid",2,"Medium","Low","Medium",11000,10,"Mid Summer","Graminoid","Summer"
"656","CYES","Cyperus esculentus","No","Rapid",1,"Medium","Low","Low",18000,10,"Mid Summer","Graminoid","Summer"
"657","CYFL","Cyperus flavescens","No","Rapid",2,"Low","Low","Medium",18000,8,"Late Summer","Graminoid","Summer"
"658","CYHA","Cyperus haspan","Yes","Moderate",3,"Low","Medium","Medium",4800,16,"Late Spring","Graminoid","Spring"
"659","CYLA3","Cyperus lancastriensis","No","Moderate",3,"Low","High","Low",4800,12,"Late Summer","Graminoid","Summer"
"660","CYOD","Cyperus odoratus","No","Moderate",2,"Low","None","Medium",4800,8,"Late Summer","Graminoid","Summer"
"661","CYPO","Cyperus polystachyos","No","Moderate",2,"Low","None","Medium",4800,8,"Mid Summer","Graminoid","Spring"
"662","CYPS","Cyperus pseudovegetus","No","Moderate",2,"None","High","High",4800,10,"Late Spring","Graminoid","Spring"
"663","CYPS","Cyperus pseudovegetus","No","Moderate",2,"None","High","High",4800,10,"Late Spring","Graminoid","Summer"
"664","CYPS","Cyperus pseudovegetus","No","Moderate",2,"None","High","High",4800,10,"Late Spring","Graminoid","Fall"
"665","CYST","Cyperus strigosus","Yes","Moderate",3,"Low","Medium","Medium",4800,16,"Summer","Graminoid","Spring"
"666","CYSC4","Cytisus scoparius","No","Rapid",7,"High","High","Low",2700,16,"Spring","Shrub","Spring"
"667","DAEX","Dacryodes excelsa","No","Slow",115,"Low","Low","Medium",300,42,"Early Summer","Tree","Spring"
"668","DAEX","Dacryodes excelsa","No","Slow",115,"Low","Low","Medium",300,42,"Early Summer","Tree","Summer"
"669","DAEX","Dacryodes excelsa","No","Slow",115,"Low","Low","Medium",300,42,"Early Summer","Tree","Fall"
"670","DAFO","Dalea formosa","No","Slow",3,"High","Medium","Low",1200,16,"Indeterminate","Subshrub","Spring"
"671","DAFO","Dalea formosa","No","Slow",3,"High","Medium","Low",1200,16,"Indeterminate","Subshrub","Summer"
"672","DAFO","Dalea formosa","No","Slow",3,"High","Medium","Low",1200,16,"Indeterminate","Subshrub","Fall"
"673","DAFO","Dalea formosa","No","Slow",3,"High","Medium","Low",1200,16,"Indeterminate","Shrub","Spring"
"674","DAFO","Dalea formosa","No","Slow",3,"High","Medium","Low",1200,16,"Indeterminate","Shrub","Summer"
"675","DAFO","Dalea formosa","No","Slow",3,"High","Medium","Low",1200,16,"Indeterminate","Shrub","Fall"
"676","DACA12","Damasonium californicum","No","Moderate",2,"None","Low","High",4800,8,"Mid Spring","Forb/herb","Spring"
"677","DAWH2","Dasylirion wheeleri","No","Slow",15,"High","Low","Low",2700,24,"Mid Spring","Subshrub","Spring"
"678","DAWH2","Dasylirion wheeleri","No","Slow",15,"High","Low","Low",2700,24,"Mid Spring","Shrub","Spring"
"679","DEVE","Decodon verticillatus","No","Rapid",8,"None","High","High",1700,10,"Mid Summer","Subshrub","Summer"
"680","DEVE","Decodon verticillatus","No","Rapid",8,"None","High","High",1700,10,"Mid Summer","Shrub","Summer"
"681","DERE","Delonix regia","No","Rapid",50,"Medium","None","Medium",300,60,"Early Summer","Tree","Year Round"
"682","DEVI3","Desmanthus virgatus","No","Slow",2,"High","Low","Low",1200,24,"Indeterminate","Subshrub","Spring"
"683","DEVI3","Desmanthus virgatus","No","Slow",2,"High","Low","Low",1200,24,"Indeterminate","Forb/herb","Spring"
"684","DEHE9","Desmodium heterophyllum","No","Rapid",0,"None","None","Medium",20000,12,"Summer","Forb/herb","Summer"
"685","DEHE9","Desmodium heterophyllum","No","Rapid",0,"None","None","Medium",20000,12,"Summer","Vine","Summer"
"686","DEIN3","Desmodium incanum","No","Moderate",4,"High","Low","Medium",1280,12,"Indeterminate","Forb/herb","Spring"
"687","DEIN3","Desmodium incanum","No","Moderate",4,"High","Low","Medium",1280,12,"Indeterminate","Subshrub","Spring"
"688","DEIN2","Desmodium intortum","No","Moderate",3,"Medium","Medium","Medium",40000,12,"Indeterminate","Vine","Year Round"
"689","DEIN2","Desmodium intortum","No","Moderate",3,"Medium","Medium","Medium",40000,12,"Indeterminate","Forb/herb","Year Round"
"690","DEGR3","Deutzia gracilis","No","Moderate",3,"Low","High","Medium",2700,14,"Mid Spring","Shrub","Spring"
"691","DIFO","Dicentra formosa","Yes","Rapid",2,"None","High","Low",24000,6,"Early Summer","Forb/herb","Spring"
"692","DILO","Diervilla lonicera","No","Slow",2,"High","High","Low",2700,16,"Late Spring","Shrub","Spring"
"693","DIVI5","Diospyros virginiana","Yes","Slow",55,"Medium","Medium","Medium",700,36,"Late Spring","Tree","Spring"
"694","DISP","Distichlis spicata","No","Slow",1,"Medium","High","Medium",43000,2,"Mid Summer","Graminoid","Spring"
"695","DISP","Distichlis spicata","No","Slow",1,"Medium","High","Medium",43000,2,"Mid Summer","Graminoid","Summer"
"696","DISP","Distichlis spicata","No","Slow",1,"Medium","High","Medium",43000,2,"Mid Summer","Graminoid","Fall"
"697","DOVI","Dodonaea viscosa","No","Rapid",15,"High","Medium","Low",1200,18,"Late Spring","Tree","Spring"
"698","DOVI","Dodonaea viscosa","No","Rapid",15,"High","Medium","Low",1200,18,"Late Spring","Tree","Summer"
"699","DOVI","Dodonaea viscosa","No","Rapid",15,"High","Medium","Low",1200,18,"Late Spring","Tree","Fall"
"700","DOVI","Dodonaea viscosa","No","Rapid",15,"High","Medium","Low",1200,18,"Late Spring","Shrub","Spring"
"701","DOVI","Dodonaea viscosa","No","Rapid",15,"High","Medium","Low",1200,18,"Late Spring","Shrub","Summer"
"702","DOVI","Dodonaea viscosa","No","Rapid",15,"High","Medium","Low",1200,18,"Late Spring","Shrub","Fall"
"703","DOLA","Douglasia laevigata","No","Moderate",0,"Low","Medium","Medium",18000,6,"Late Spring","Subshrub","Spring"
"704","DOLA","Douglasia laevigata","No","Moderate",0,"Low","Medium","Medium",18000,6,"Late Spring","Forb/herb","Spring"
"705","DRDR","Dryas drummondii","No","Slow",1,"Low","Medium","Medium",2700,12,"Late Spring","Shrub","Spring"
"706","DRDR","Dryas drummondii","No","Slow",1,"Low","Medium","Medium",2700,12,"Late Spring","Forb/herb","Spring"
"707","DRDR","Dryas drummondii","No","Slow",1,"Low","Medium","Medium",2700,12,"Late Spring","Subshrub","Spring"
"708","DROC","Dryas octopetala","No","Rapid",0,"Medium","Medium","Low",20000,12,"Late Spring","Subshrub","Spring"
"709","DROC","Dryas octopetala","No","Rapid",0,"Medium","Medium","Low",20000,12,"Late Spring","Shrub","Spring"
