species_id,common_name,species_name,nursery_id,name,lat,long,website 
29,Saltgrass,saltgrass,1,"Theodore Payne Nursery, Los Angeles",34.2385248,-118.3593541,https://theodorepayne.org/plants-and-seeds/nursery/
30,Flannel Bush,flannel_bush,5,"Plant Material, Los Angeles",34.11452,-118.2362,https://plant-material.com/
31,Black Cottonwood,black_cottonwood,1,"Theodore Payne Nursery, Los Angeles",34.2385248,-118.3593541,https://theodorepayne.org/plants-and-seeds/nursery/
32,Canyon Live Oak,canyon_live_oak,1,"Theodore Payne Nursery, Los Angeles",34.2385248,-118.3593541,https://theodorepayne.org/plants-and-seeds/nursery/
32,Canyon Live Oak,canyon_live_oak,5,"Plant Material, Los Angeles",34.11452,-118.2362,https://plant-material.com/
32,Canyon Live Oak,canyon_live_oak,3,"Artemisia Nursery, Los Angeles",34.0706007,-118.173616,https://artemisianursery.com/
33,California Black Oak,ca_black_oak,1,"Theodore Payne Nursery, Los Angeles",34.2385248,-118.3593541,https://theodorepayne.org/plants-and-seeds/nursery/
34,California Blackberry,ca_blackberry,1,"Theodore Payne Nursery, Los Angeles",34.2385248,-118.3593541,https://theodorepayne.org/plants-and-seeds/nursery/
34,California Blackberry,ca_blackberry,5,"Plant Material, Los Angeles",34.11452,-118.2362,https://plant-material.com/
34,California Blackberry,ca_blackberry,3,"Artemisia Nursery, Los Angeles",34.0706007,-118.173616,https://artemisianursery.com/
34,California Blackberry,ca_blackberry,4,"Matilija Nursery, Moorpark",34.3184,-118.8811,https://www.matilijanursery.com/
35,Sugar Sumac,sugar_sumac,3,"Artemisia Nursery, Los Angeles",34.0706007,-118.173616,https://artemisianursery.com/
35,Sugar Sumac,sugar_sumac,1,"Theodore Payne Nursery, Los Angeles",34.2385248,-118.3593541,https://theodorepayne.org/plants-and-seeds/nursery/
36,Sierra Currant,sierra_currant,1,"Theodore Payne Nursery, Los Angeles",34.2385248,-118.3593541,https://theodorepayne.org/plants-and-seeds/nursery/
37,Purple Sage,purple_sage,4,"Matilija Nursery, Moorpark",34.3184,-118.8811,https://www.matilijanursery.com/
37,Purple Sage,purple_sage,3,"Artemisia Nursery, Los Angeles",34.0706007,-118.173616,https://artemisianursery.com/
37,Purple Sage,purple_sage,1,"Theodore Payne Nursery, Los Angeles",34.2385248,-118.3593541,https://theodorepayne.org/plants-and-seeds/nursery/
38,Desert Globemallow,desert_globemallow,4,"Matilija Nursery, Moorpark",34.3184,-118.8811,https://www.matilijanursery.com/
38,Desert Globemallow,desert_globemallow,3,"Artemisia Nursery, Los Angeles",34.0706007,-118.173616,https://artemisianursery.com/
