"","accepted_symbol","common_name","scientific_name","fire_resistance","growth_rate","height","drought_tolerance","fire_tolerance","moisture_use","planting_density","root_depth","bloom_period","growth_habit","growth_period"
"131","ESCA2","California poppy","Eschscholzia californica","No","Moderate",1,"Medium","Low","Low",19000,10,"Late Spring","Forb/herb","Fall"
"132","EUGL","Tasmanian bluegum","Eucalyptus globulus","No","Rapid",160,"Low","High","High",1200,24,"Fall","Tree","Fall"
"133","EUGL","Tasmanian bluegum","Eucalyptus globulus","No","Rapid",160,"Low","High","High",1200,24,"Fall","Tree","Winter"
"134","EUOC4","western goldentop","Euthamia occidentalis","No","Moderate",6,"Medium","High","Medium",11000,10,"Late Summer","Forb/herb","Spring"
"135","FAPA","Apache plume","Fallugia paradoxa","Yes","Rapid",6,"High","Low","Low",300,10,"Late Spring","Shrub","Spring"
"136","FOPUP","stretchberry","Forestiera pubescens var. pubescens","No","Moderate",6,"Medium","None","Medium",300,12,"Early Spring","Shrub","Spring"
"137","FRCAC5","California buckthorn","Frangula californica ssp. californica","No","Rapid",5,"High","High","Medium",2700,16,"Mid Spring","Shrub","Spring"
"138","FRCAC5","California buckthorn","Frangula californica ssp. californica","No","Rapid",5,"High","High","Medium",2700,16,"Mid Spring","Tree","Spring"
"139","FRLA","Oregon ash","Fraxinus latifolia","No","Moderate",70,"Low","Medium","Medium",800,24,"Mid Spring","Tree","Spring"
"140","FRVE2","velvet ash","Fraxinus velutina","No","Moderate",40,"Medium","Low","Low",700,24,"Late Spring","Tree","Spring"
"141","FRCA6","California flannelbush","Fremontodendron californicum","No","Moderate",10,"High","High","Low",600,6,"Late Summer","Tree","Spring"
"142","FRCA6","California flannelbush","Fremontodendron californicum","No","Moderate",10,"High","High","Low",600,6,"Late Summer","Shrub","Spring"
"143","GERI","Richardson's geranium","Geranium richardsonii","No","Moderate",3,"Low","Medium","High",4800,4,"Mid Spring","Forb/herb","Spring"
"144","GRSP","spiny hopsage","Grayia spinosa","No","Slow",3,"High","Medium","Low",2200,20,"Late Spring","Subshrub","Fall"
"145","GRSP","spiny hopsage","Grayia spinosa","No","Slow",3,"High","Medium","Low",2200,20,"Late Spring","Subshrub","Winter"
"146","GRSP","spiny hopsage","Grayia spinosa","No","Slow",3,"High","Medium","Low",2200,20,"Late Spring","Shrub","Fall"
"147","GRSP","spiny hopsage","Grayia spinosa","No","Slow",3,"High","Medium","Low",2200,20,"Late Spring","Shrub","Winter"
"148","HEAN3","common sunflower","Helianthus annuus","No","Rapid",9,"Medium","None","Medium",11000,8,"Summer","Forb/herb","Summer"
"149","HECU3","salt heliotrope","Heliotropium curassavicum","No","Moderate",1,"Medium","Medium","Medium",4800,10,"Mid Spring","Forb/herb","Spring"
"150","HECU3","salt heliotrope","Heliotropium curassavicum","No","Moderate",1,"Medium","Medium","Medium",4800,10,"Mid Spring","Forb/herb","Summer"
"151","HECU3","salt heliotrope","Heliotropium curassavicum","No","Moderate",1,"Medium","Medium","Medium",4800,10,"Mid Spring","Forb/herb","Fall"
"152","HECU3","salt heliotrope","Heliotropium curassavicum","No","Moderate",1,"Medium","Medium","Medium",4800,10,"Mid Spring","Subshrub","Spring"
"153","HECU3","salt heliotrope","Heliotropium curassavicum","No","Moderate",1,"Medium","Medium","Medium",4800,10,"Mid Spring","Subshrub","Summer"
"154","HECU3","salt heliotrope","Heliotropium curassavicum","No","Moderate",1,"Medium","Medium","Medium",4800,10,"Mid Spring","Subshrub","Fall"
"155","HODI","oceanspray","Holodiscus discolor","No","Moderate",12,"Low","Medium","High",600,12,"Late Summer","Shrub","Spring"
"156","HODI","oceanspray","Holodiscus discolor","No","Moderate",12,"Low","Medium","High",600,12,"Late Summer","Shrub","Summer"
"157","HODI","oceanspray","Holodiscus discolor","No","Moderate",12,"Low","Medium","High",600,12,"Late Summer","Shrub","Fall"
"158","IRMI","Rocky Mountain iris","Iris missouriensis","No","Rapid",1,"Low","High","High",40000,6,"Spring","Forb/herb","Summer"
"159","JURE80","English walnut","Juglans regia","No","Rapid",60,"Medium","Low","High",800,40,"Mid Spring","Tree","Spring"
"160","JUBU","toad rush","Juncus bufonius","No","Rapid",1,"Low","None","Medium",4800,6,"Spring","Graminoid","Spring"
"161","JUBU","toad rush","Juncus bufonius","No","Rapid",1,"Low","None","Medium",4800,6,"Spring","Graminoid","Summer"
"162","JUBU","toad rush","Juncus bufonius","No","Rapid",1,"Low","None","Medium",4800,6,"Spring","Graminoid","Fall"
"163","JUEN","swordleaf rush","Juncus ensifolius","No","Moderate",2,"Low","High","High",4800,11,"Summer","Graminoid","Summer"
"164","JUME3","Mertens' rush","Juncus mertensianus","No","Moderate",1,"Low","High","High",4800,8,"Late Spring","Graminoid","Spring"
"165","JUME4","Mexican rush","Juncus mexicanus","No","Moderate",1,"Low","High","Medium",4800,8,"Spring","Graminoid","Spring"
