"","accepted_symbol","common_name","scientific_name","fire_resistance","growth_rate","height","drought_tolerance","fire_tolerance","moisture_use","planting_density","root_depth","bloom_period","growth_habit","growth_period"
"285","RHCR","redberry buckthorn","Rhamnus crocea","No","Slow",5,"High","None","Low",2700,16,"Early Spring","Tree","Spring"
"286","RHCR","redberry buckthorn","Rhamnus crocea","No","Slow",5,"High","None","Low",2700,16,"Early Spring","Tree","Summer"
"287","RHCR","redberry buckthorn","Rhamnus crocea","No","Slow",5,"High","None","Low",2700,16,"Early Spring","Tree","Fall"
"288","RHOV","sugar sumac","Rhus ovata","No","Moderate",12,"High","Medium","Low",2700,18,"Mid Spring","Tree","Spring"
"289","RHOV","sugar sumac","Rhus ovata","No","Moderate",12,"High","Medium","Low",2700,18,"Mid Spring","Shrub","Spring"
"290","RHTR","skunkbush sumac","Rhus trilobata","No","Moderate",4,"Medium","Medium","Low",2700,16,"Early Summer","Shrub","Spring"
"291","RIAU","golden currant","Ribes aureum","No","Moderate",10,"Medium","Medium","Low",1700,20,"Mid Spring","Shrub","Spring"
"292","RICE","wax currant","Ribes cereum","Yes","Rapid",3,"High","High","Low",1800,12,"Early Summer","Shrub","Spring"
"293","RIMO2","gooseberry currant","Ribes montigenum","No","Rapid",1,"High","Medium","Medium",1200,12,"Early Summer","Shrub","Spring"
"294","RINE","Sierra currant","Ribes nevadense","No","Moderate",6,"Low","Medium","High",1700,14,"Late Spring","Shrub","Spring"
"295","RIRO","Sierra gooseberry","Ribes roezlii","No","Moderate",5,"High","Medium","Low",1700,16,"Late Spring","Shrub","Spring"
"296","RIVI","island gooseberry","Ribes viburnifolium","No","Rapid",3,"High","High","Low",2700,12,"Mid Spring","Shrub","Spring"
"297","RIVI","island gooseberry","Ribes viburnifolium","No","Rapid",3,"High","High","Low",2700,12,"Mid Spring","Shrub","Summer"
"298","RIVI","island gooseberry","Ribes viburnifolium","No","Rapid",3,"High","High","Low",2700,12,"Mid Spring","Shrub","Fall"
"299","ROPS","black locust","Robinia pseudoacacia","No","Rapid",60,"High","High","Medium",1200,36,"Spring","Tree","Spring"
"300","ROCA2","California wildrose","Rosa californica","No","Rapid",10,"Medium","High","High",3000,6,"Summer","Subshrub","Spring"
"301","ROCA2","California wildrose","Rosa californica","No","Rapid",10,"Medium","High","High",3000,6,"Summer","Subshrub","Summer"
"302","ROCA2","California wildrose","Rosa californica","No","Rapid",10,"Medium","High","High",3000,6,"Summer","Subshrub","Fall"
"303","ROGY","dwarf rose","Rosa gymnocarpa","No","Moderate",3,"Medium","Medium","Medium",1700,14,"Late Spring","Subshrub","Spring"
"304","ROWO","Woods' rose","Rosa woodsii","No","Rapid",3,"Medium","High","Medium",2700,12,"Late Spring","Subshrub","Spring"
"305","RULE","whitebark raspberry","Rubus leucodermis","No","Rapid",1,"Low","High","Medium",4800,12,"Late Spring","Subshrub","Spring"
"306","RULE","whitebark raspberry","Rubus leucodermis","No","Rapid",1,"Low","High","Medium",4800,12,"Late Spring","Vine","Spring"
"307","RUPA","thimbleberry","Rubus parviflorus","No","Rapid",4,"Medium","High","High",4800,12,"Spring","Subshrub","Spring"
"308","RUUR","California blackberry","Rubus ursinus","No","Rapid",2,"Medium","High","Medium",2700,14,"Early Spring","Subshrub","Spring"
"309","RUMA4","golden dock","Rumex maritimus","No","Rapid",2,"None","High","High",4800,12,"Late Spring","Forb/herb","Spring"
"310","RUMA5","widgeongrass","Ruppia maritima","No","Rapid",0,"None","High","High",2700,4,"Mid Spring","Forb/herb","Spring"
"311","SAAL2","white willow","Salix alba","Yes","Rapid",70,"Low","High","High",300,16,"Early Spring","Tree","Spring"
"312","SAEX","narrowleaf willow","Salix exigua","No","Rapid",10,"Medium","High","High",1200,20,"Early Spring","Tree","Spring"
"313","SAEX","narrowleaf willow","Salix exigua","No","Rapid",10,"Medium","High","High",1200,20,"Early Spring","Shrub","Spring"
"314","SAGO","Goodding's willow","Salix gooddingii","No","Rapid",40,"Medium","High","High",700,28,"Early Spring","Tree","Spring"
"315","SALU","shining willow","Salix lucida","No","Rapid",13,"Low","High","High",1700,10,"Spring","Shrub","Spring"
"316","SALU","shining willow","Salix lucida","No","Rapid",13,"Low","High","High",1700,10,"Spring","Tree","Spring"
"317","SALUL","Pacific willow","Salix lucida ssp. lasiandra","No","Moderate",25,"None","High","High",11000,20,"Mid Spring","Tree","Spring"
"318","SALUL","Pacific willow","Salix lucida ssp. lasiandra","No","Moderate",25,"None","High","High",11000,20,"Mid Spring","Shrub","Spring"
"319","SASC","Scouler's willow","Salix scouleriana","No","Rapid",50,"Medium","High","High",7000,12,"Early Spring","Tree","Spring"
"320","SASC","Scouler's willow","Salix scouleriana","No","Rapid",50,"Medium","High","High",7000,12,"Early Spring","Shrub","Spring"
"321","SADO4","purple sage","Salvia dorrii","No","Moderate",2,"Medium","High","Medium",2700,14,"Late Spring","Subshrub","Spring"
"322","SADO4","purple sage","Salvia dorrii","No","Moderate",2,"Medium","High","Medium",2700,14,"Late Spring","Shrub","Spring"
"323","SANIC4","American black elderberry","Sambucus nigra ssp. canadensis","No","Rapid",7,"Medium","Medium","Medium",1700,16,"Spring","Tree","Spring"
"324","SANIC4","American black elderberry","Sambucus nigra ssp. canadensis","No","Rapid",7,"Medium","Medium","Medium",1700,16,"Spring","Shrub","Spring"
"325","SCTE","Brazilian peppertree","Schinus terebinthifolius","No","Moderate",30,"Low","Medium","High",300,12,"Summer","Tree","Year Round"
"326","SCTE","Brazilian peppertree","Schinus terebinthifolius","No","Moderate",30,"Low","Medium","High",300,12,"Summer","Shrub","Year Round"
"327","SCCA11","California bulrush","Schoenoplectus californicus","No","Moderate",7,"Low","High","High",4800,14,"Late Spring","Graminoid","Summer"
"328","SCTA2","softstem bulrush","Schoenoplectus tabernaemontani","No","Rapid",9,"None","High","High",1700,16,"Late Spring","Graminoid","Spring"
"329","SCTA2","softstem bulrush","Schoenoplectus tabernaemontani","No","Rapid",9,"None","High","High",1700,16,"Late Spring","Graminoid","Summer"
"330","SCTA2","softstem bulrush","Schoenoplectus tabernaemontani","No","Rapid",9,"None","High","High",1700,16,"Late Spring","Graminoid","Fall"
"331","SCMI2","panicled bulrush","Scirpus microcarpus","No","Rapid",6,"None","High","Medium",4800,12,"Late Spring","Graminoid","Spring"
"332","SCMI2","panicled bulrush","Scirpus microcarpus","No","Rapid",6,"None","High","Medium",4800,12,"Late Spring","Graminoid","Summer"
"333","SCMI2","panicled bulrush","Scirpus microcarpus","No","Rapid",6,"None","High","Medium",4800,12,"Late Spring","Graminoid","Fall"
"334","SOLYL","garden tomato","Solanum lycopersicum var. lycopersicum","No","Rapid",6,"Low","None","High",2700,24,"Indeterminate","Forb/herb","Year Round"
"335","SOHA","Johnsongrass","Sorghum halepense","No","Rapid",4,"Low","High","High",11000,10,"Late Summer","Graminoid","Summer"
"336","SPAM2","desert globemallow","Sphaeralcea ambigua","No","Rapid",5,"High","High","Low",11000,12,"Early Spring","Subshrub","Spring"
"337","SPAM2","desert globemallow","Sphaeralcea ambigua","No","Rapid",5,"High","High","Low",11000,12,"Early Spring","Forb/herb","Spring"
"338","SYAL","common snowberry","Symphoricarpos albus","No","Moderate",3,"High","High","Medium",1700,18,"Early Summer","Subshrub","Spring"
"339","SYAL","common snowberry","Symphoricarpos albus","No","Moderate",3,"High","High","Medium",1700,18,"Early Summer","Shrub","Spring"
"340","SYLAH6","white panicle aster","Symphyotrichum lanceolatum ssp. hesperium var. hesperium","No","Moderate",6,"Low","High","High",1700,12,"Late Summer","Forb/herb","Summer"
"341","TECA2","spineless horsebrush","Tetradymia canescens","Yes","Slow",4,"High","None","Low",150,6,"Late Summer","Subshrub","Spring"
"342","TECA2","spineless horsebrush","Tetradymia canescens","Yes","Slow",4,"High","None","Low",150,6,"Late Summer","Subshrub","Summer"
"343","TECA2","spineless horsebrush","Tetradymia canescens","Yes","Slow",4,"High","None","Low",150,6,"Late Summer","Subshrub","Fall"
"344","TECA2","spineless horsebrush","Tetradymia canescens","Yes","Slow",4,"High","None","Low",150,6,"Late Summer","Shrub","Spring"
"345","TECA2","spineless horsebrush","Tetradymia canescens","Yes","Slow",4,"High","None","Low",150,6,"Late Summer","Shrub","Summer"
"346","TECA2","spineless horsebrush","Tetradymia canescens","Yes","Slow",4,"High","None","Low",150,6,"Late Summer","Shrub","Fall"
"347","TEGL","littleleaf horsebrush","Tetradymia glabrata","Yes","Slow",12,"High","None","Low",150,6,"Late Summer","Subshrub","Spring"
"348","TEGL","littleleaf horsebrush","Tetradymia glabrata","Yes","Slow",12,"High","None","Low",150,6,"Late Summer","Subshrub","Summer"
"349","TEGL","littleleaf horsebrush","Tetradymia glabrata","Yes","Slow",12,"High","None","Low",150,6,"Late Summer","Subshrub","Fall"
"350","TEGL","littleleaf horsebrush","Tetradymia glabrata","Yes","Slow",12,"High","None","Low",150,6,"Late Summer","Shrub","Spring"
"351","TEGL","littleleaf horsebrush","Tetradymia glabrata","Yes","Slow",12,"High","None","Low",150,6,"Late Summer","Shrub","Summer"
"352","TEGL","littleleaf horsebrush","Tetradymia glabrata","Yes","Slow",12,"High","None","Low",150,6,"Late Summer","Shrub","Fall"
"353","TESP2","shortspine horsebrush","Tetradymia spinosa","No","Slow",3,"High","Medium","Low",2700,16,"Mid Spring","Subshrub","Spring"
"354","TESP2","shortspine horsebrush","Tetradymia spinosa","No","Slow",3,"High","Medium","Low",2700,16,"Mid Spring","Shrub","Spring"
"355","TRRE3","white clover","Trifolium repens","No","Moderate",2,"Medium","Medium","Medium",40000,14,"Indeterminate","Forb/herb","Year Round"
"356","TYLA","broadleaf cattail","Typha latifolia","No","Rapid",5,"None","High","High",10000,14,"Late Spring","Forb/herb","Spring"
"357","ULPA","Chinese elm","Ulmus parvifolia","No","Rapid",60,"Medium","Medium","Medium",800,24,"Late Summer","Tree","Spring"
"358","UMCA","California laurel","Umbellularia californica","No","Moderate",80,"Low","Medium","High",800,16,"Spring","Tree","Spring"
"359","UMCA","California laurel","Umbellularia californica","No","Moderate",80,"Low","Medium","High",800,16,"Spring","Tree","Summer"
"360","UMCA","California laurel","Umbellularia californica","No","Moderate",80,"Low","Medium","High",800,16,"Spring","Tree","Fall"
"361","UMCA","California laurel","Umbellularia californica","No","Moderate",80,"Low","Medium","High",800,16,"Spring","Shrub","Spring"
"362","UMCA","California laurel","Umbellularia californica","No","Moderate",80,"Low","Medium","High",800,16,"Spring","Shrub","Summer"
"363","UMCA","California laurel","Umbellularia californica","No","Moderate",80,"Low","Medium","High",800,16,"Spring","Shrub","Fall"
"364","VECA2","California false hellebore","Veratrum californicum","No","Rapid",6,"Low","Medium","High",4800,10,"Mid Spring","Forb/herb","Spring"
"365","VISA","garden vetch","Vicia sativa","No","Rapid",4,"Low","None","High",20000,12,"Early Spring","Vine","Spring"
"366","VISA","garden vetch","Vicia sativa","No","Rapid",4,"Low","None","High",20000,12,"Early Spring","Forb/herb","Spring"
